index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
65146,стиральный порошок freshbubble,https://www.wildberries.ru/catalog/0/search.aspx?search=стиральный%20порошок%20freshbubble&xsearch=true&xsearch=true&sort=popular,2.0,398.5,368.0,429.0,119.0,103.0,134.0,3.0,3.0,3.0,30.0,40.0,35.0,порошок стиральный
65148,стиральный порошок bio,https://www.wildberries.ru/catalog/0/search.aspx?search=стиральный%20порошок%20bio&xsearch=true&xsearch=true&sort=popular,8.0,723.375,422.0,1538.0,525.0,6.0,1734.0,8.0,8.0,8.0,,,,порошок стиральный
65185,сидушка на табуретку,https://www.wildberries.ru/catalog/0/search.aspx?search=сидушка%20на%20табуретку&xsearch=true&xsearch=true&sort=popular,78.0,643.3846153846154,361.0,983.0,10.0,0.0,115.0,48.0,40.0,40.0,,,,табуретка
65236,ночник ловец снов,https://www.wildberries.ru/catalog/0/search.aspx?search=ночник%20ловец%20снов&xsearch=true&xsearch=true&sort=popular,8.0,1728.875,1540.0,2093.0,34.0,2.0,106.0,7.0,7.0,5.0,15.0,50.0,28.75,ловец ночник
65280,развивающий домик проектор,https://www.wildberries.ru/catalog/0/search.aspx?search=развивающий%20домик%20проектор&xsearch=true&xsearch=true&sort=popular,8.0,1230.375,420.0,2478.0,17.0,0.0,83.0,5.0,3.0,3.0,,,,домик проектор развивать
65320,арт 13680475,https://www.wildberries.ru/catalog/0/search.aspx?search=арт%2013680475&xsearch=true&xsearch=true&sort=popular,1.0,1235.0,1235.0,1235.0,150.0,150.0,150.0,2.0,2.0,2.0,44.0,44.0,44.0,арт
65329,екатерина кес,https://www.wildberries.ru/catalog/0/search.aspx?search=екатерина%20кес&xsearch=true&xsearch=true&sort=popular,2.0,434.5,430.0,439.0,987.0,340.0,1634.0,3.0,3.0,3.0,36.0,39.0,37.5,екатерина
65457,линзы голубые 00,https://www.wildberries.ru/catalog/0/search.aspx?search=линзы%20голубые%2000&xsearch=true&xsearch=true&sort=popular,33.0,1121.969696969697,460.0,2761.0,17.0,0.0,163.0,29.0,9.0,7.0,,,,линза
65520,рюкзак детский puma,https://www.wildberries.ru/catalog/0/search.aspx?search=рюкзак%20детский%20puma&xsearch=true&xsearch=true&sort=popular,4.0,1441.0,940.0,1942.0,33.0,26.0,41.0,5.0,5.0,3.0,21.0,22.0,21.5,рюкзак детский
65546,беспроводные наушники pro4,https://www.wildberries.ru/catalog/0/search.aspx?search=беспроводные%20наушники%20pro4&xsearch=true&xsearch=true&sort=popular,30.0,1684.5,841.0,2513.0,20.0,0.0,179.0,18.0,18.0,15.0,,,,наушник беспроводный
65722,новогодние вкусняшки,https://www.wildberries.ru/catalog/0/search.aspx?search=новогодние%20вкусняшки&xsearch=true&xsearch=true&sort=popular,11.0,830.2727272727273,384.0,1215.0,7.0,0.0,62.0,2.0,2.0,2.0,3.0,58.0,26.45454545454545,вкусняшка новогодний
65725,вкусняшки на новый год,https://www.wildberries.ru/catalog/0/search.aspx?search=вкусняшки%20на%20новый%20год&xsearch=true&xsearch=true&sort=popular,11.0,830.2727272727273,384.0,1215.0,7.0,0.0,62.0,2.0,2.0,2.0,3.0,58.0,26.45454545454545,вкусняшка
65771,мусульманский коврик,https://www.wildberries.ru/catalog/0/search.aspx?search=мусульманский%20коврик&xsearch=true&xsearch=true&sort=popular,2.0,537.0,517.0,557.0,32.0,0.0,63.0,2.0,2.0,2.0,50.0,78.0,64.0,коврик мусульманский
65923,покрывало стокдефект,https://www.wildberries.ru/catalog/0/search.aspx?search=покрывало%20стокдефект&xsearch=true&xsearch=true&sort=popular,62.0,1039.8709677419354,581.0,1784.0,17.0,0.0,85.0,60.0,33.0,11.0,11.0,66.0,52.24193548387096,стокдефект покрывало
