index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
423286,точилка для кошек,https://www.wildberries.ru/catalog/0/search.aspx?search=точилка%20для%20кошек&xsearch=true&xsearch=true&sort=popular,24.0,1243.1666666666667,501.0,2544.0,11.0,0.0,99.0,21.0,9.0,1.0,0.0,69.0,38.708333333333336
561449,соляная лампа 5-7 кг,https://www.wildberries.ru/catalog/0/search.aspx?search=соляная%20лампа%205-7%20кг&xsearch=true&xsearch=true&sort=popular,5.0,1496.4,1273.0,1750.0,21.0,0.0,53.0,3.0,3.0,3.0,15.0,55.0,36.0
561460,портупея военная,https://www.wildberries.ru/catalog/0/search.aspx?search=портупея%20военная&xsearch=true&xsearch=true&sort=popular,34.0,695.6764705882354,380.0,1485.0,14.0,0.0,67.0,17.0,17.0,17.0,10.0,76.0,59.32352941176471
561517,l1154f,https://www.wildberries.ru/catalog/0/search.aspx?search=l1154f&xsearch=true&xsearch=true&sort=popular,8.0,724.5,642.0,818.0,153.0,6.0,309.0,7.0,7.0,7.0,40.0,51.0,47.25
561985,тарелка лофт,https://www.wildberries.ru/catalog/0/search.aspx?search=тарелка%20лофт&xsearch=true&xsearch=true&sort=popular,18.0,1719.666666666667,451.0,2240.0,8.0,0.0,130.0,1.0,1.0,1.0,20.0,69.0,40.72222222222222
562014,яна катаева,https://www.wildberries.ru/catalog/0/search.aspx?search=яна%20катаева&xsearch=true&xsearch=true&sort=popular,2.0,358.5,350.0,367.0,65.0,11.0,118.0,2.0,1.0,1.0,12.0,30.0,21.0
562326,зоопарк мэтью ван флит,https://www.wildberries.ru/catalog/0/search.aspx?search=зоопарк%20мэтью%20ван%20флит&xsearch=true&xsearch=true&sort=popular,1.0,1399.0,1399.0,1399.0,92.0,92.0,92.0,1.0,1.0,1.0,40.0,40.0,40.0
562541,сумка на пояс waist bag,https://www.wildberries.ru/catalog/0/search.aspx?search=сумка%20на%20пояс%20waist%20bag&xsearch=true&xsearch=true&sort=popular,44.0,1073.2045454545455,456.0,2910.0,60.0,0.0,376.0,42.0,32.0,32.0,0.0,76.0,50.43181818181818
562552,лагиаль,https://www.wildberries.ru/catalog/0/search.aspx?search=лагиаль&xsearch=true&xsearch=true&sort=popular,1.0,648.0,648.0,648.0,100.0,100.0,100.0,1.0,1.0,1.0,16.0,16.0,16.0
562800,наталья краснова,https://www.wildberries.ru/catalog/0/search.aspx?search=наталья%20краснова&xsearch=true&xsearch=true&sort=popular,10.0,533.3,430.0,795.0,88.0,14.0,152.0,7.0,6.0,6.0,10.0,28.0,18.8
563174,сумки асикс,https://www.wildberries.ru/catalog/0/search.aspx?search=сумки%20асикс&xsearch=true&xsearch=true&sort=popular,8.0,1222.125,587.0,2390.0,31.0,6.0,110.0,8.0,8.0,8.0,0.0,58.0,35.0
563204,турник раздвижной,https://www.wildberries.ru/catalog/0/search.aspx?search=турник%20раздвижной&xsearch=true&xsearch=true&sort=popular,32.0,1247.21875,600.0,2275.0,36.0,0.0,509.0,30.0,30.0,21.0,0.0,70.0,32.875
563316,столик дорожный для автокресла,https://www.wildberries.ru/catalog/0/search.aspx?search=столик%20дорожный%20для%20автокресла&xsearch=true&xsearch=true&sort=popular,22.0,1929.5,1490.0,2737.0,21.0,0.0,118.0,21.0,21.0,21.0,5.0,66.0,43.77272727272727
563331,аналог sylvanian,https://www.wildberries.ru/catalog/0/search.aspx?search=аналог%20sylvanian&xsearch=true&xsearch=true&sort=popular,12.0,784.5,494.0,1190.0,14.0,0.0,44.0,5.0,4.0,2.0,11.0,77.0,48.5
563484,алмазная вышивка поцелуй,https://www.wildberries.ru/catalog/0/search.aspx?search=алмазная%20вышивка%20поцелуй&xsearch=true&xsearch=true&sort=popular,12.0,1071.4166666666667,456.0,2523.0,9.0,0.0,41.0,7.0,2.0,2.0,17.0,74.0,47.75
563485,детское постельное белье единорог,https://www.wildberries.ru/catalog/0/search.aspx?search=детское%20постельное%20белье%20единорог&xsearch=true&xsearch=true&sort=popular,3.0,1188.0,617.0,1845.0,134.0,0.0,353.0,2.0,2.0,2.0,42.0,68.0,56.0
563496,картридж 285,https://www.wildberries.ru/catalog/0/search.aspx?search=картридж%20285&xsearch=true&xsearch=true&sort=popular,3.0,789.3333333333335,554.0,907.0,427.0,2.0,1273.0,2.0,2.0,2.0,24.0,30.0,28.0
563506,поясок от колик,https://www.wildberries.ru/catalog/0/search.aspx?search=поясок%20от%20колик&xsearch=true&xsearch=true&sort=popular,7.0,754.7142857142858,701.0,872.0,47.0,14.0,135.0,7.0,5.0,5.0,25.0,58.0,33.0
