index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
5,чехлы для фумигаторов,https://www.wildberries.ru/catalog/0/search.aspx?search=Чехлы+для+фумигаторов&xsearch=true,3.0,1042.6666666666667,350.0,1438.0,29.0,2.0,78.0,1.0,1.0,1.0,0.0,0.0,0.0,wb,97.0
15,шары для пейнтбола,https://www.wildberries.ru/catalog/0/search.aspx?search=Шары+для+пейнтбола&xsearch=true,5.0,1525.4,799.0,2159.0,83.0,20.0,160.0,5.0,5.0,5.0,0.0,10.0,5.2,wb,130.0
18,виниры накладные,https://www.wildberries.ru/catalog/0/search.aspx?search=Виниры+накладные&xsearch=true,4.0,449.5,448.0,450.0,98.0,58.0,144.0,3.0,3.0,3.0,0.0,9.0,4.5,wb,91.0
31,рефлекторы,https://www.wildberries.ru/catalog/0/search.aspx?search=Рефлекторы&xsearch=true,1.0,990.0,990.0,990.0,152.0,152.0,152.0,1.0,1.0,1.0,61.0,61.0,61.0,wb,111.0
39,шпоры для верховой езды,https://www.wildberries.ru/catalog/0/search.aspx?search=Шпоры+для+верховой+езды&xsearch=true,3.0,832.3333333333335,699.0,899.0,69.0,19.0,119.0,3.0,2.0,2.0,0.0,0.0,0.0,wb,99.0
136,барьеры парковочные,https://www.wildberries.ru/catalog/0/search.aspx?search=Барьеры+парковочные&xsearch=true,2.0,2391.5,2346.0,2437.0,25.0,3.0,46.0,1.0,1.0,1.0,15.0,51.0,33.0,wb,136.0
156,рейки нивелирные,https://www.wildberries.ru/catalog/0/search.aspx?search=Рейки+нивелирные&xsearch=true,6.0,2971.5,1800.0,3890.0,58.0,0.0,144.0,5.0,5.0,5.0,0.0,43.0,7.166666666666668,wb,175.0
168,подставки для елок,https://www.wildberries.ru/catalog/0/search.aspx?search=Подставки+для+елок&xsearch=true,1.0,509.0,509.0,509.0,58.0,58.0,58.0,1.0,1.0,1.0,40.0,40.0,40.0,wb,75.0
260,сетки для сушки рыбы,https://www.wildberries.ru/catalog/0/search.aspx?search=Сетки+для+сушки+рыбы&xsearch=true,24.0,697.4583333333335,444.0,1099.0,130.0,0.0,771.0,17.0,15.0,15.0,0.0,63.0,41.54166666666666,wb,229.0
271,пороги для пола,https://www.wildberries.ru/catalog/0/search.aspx?search=Пороги+для+пола&xsearch=true,39.0,533.5897435897435,413.0,573.0,21.0,0.0,72.0,39.0,39.0,16.0,9.0,49.0,20.871794871794872,wb,79.0
297,матрасы для переносок,https://www.wildberries.ru/catalog/0/search.aspx?search=Матрасы+для+переносок&xsearch=true,50.0,1315.0,892.0,1848.0,13.0,0.0,91.0,31.0,21.0,21.0,0.0,59.0,42.18,wb,109.0
300,наполнители для кресла-мешка,https://www.wildberries.ru/catalog/0/search.aspx?search=Наполнители+для+кресла-мешка&xsearch=true,36.0,925.9444444444445,390.0,2502.0,53.0,0.0,497.0,31.0,31.0,31.0,0.0,64.0,34.30555555555556,wb,180.0
