index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
637986,фрикадельки индейка,https://www.wildberries.ru/catalog/0/search.aspx?search=фрикадельки%20индейка&xsearch=true&xsearch=true&sort=popular,4.0,1009.25,418.0,2471.0,338.0,0.0,986.0,4.0,4.0,4.0,0.0,0.0,0.0,wb,284.0
638006,полное руководство по таро,https://www.wildberries.ru/catalog/0/search.aspx?search=полное%20руководство%20по%20таро&xsearch=true&xsearch=true&sort=popular,19.0,1654.421052631579,374.0,4490.0,68.0,0.0,738.0,11.0,11.0,11.0,0.0,58.0,17.105263157894736,wb,254.0
638085,дырокол круг,https://www.wildberries.ru/catalog/0/search.aspx?search=дырокол%20круг&xsearch=true&xsearch=true&sort=popular,7.0,1114.4285714285713,539.0,2076.0,8.0,0.0,42.0,1.0,1.0,1.0,0.0,25.0,6.428571428571429,wb,92.0
638314,"кастрюля эмалированная 1,5","https://www.wildberries.ru/catalog/0/search.aspx?search=кастрюля%20эмалированная%201,5&xsearch=true&xsearch=true&sort=popular",62.0,1201.774193548387,498.0,2978.0,7.0,0.0,122.0,62.0,7.0,7.0,0.0,66.0,41.08064516129032,wb,112.0
638473,все чего я не сказала книга,https://www.wildberries.ru/catalog/0/search.aspx?search=все%20чего%20я%20не%20сказала%20книга&xsearch=true&xsearch=true&sort=popular,4.0,885.75,394.0,1334.0,41.0,0.0,158.0,1.0,1.0,1.0,0.0,42.0,22.75,wb,108.0
638478,портативный паяльник с канифольным,https://www.wildberries.ru/catalog/0/search.aspx?search=портативный%20паяльник%20с%20канифольным&xsearch=true&xsearch=true&sort=popular,7.0,1444.0,725.0,3112.0,12.0,0.0,48.0,3.0,3.0,3.0,0.0,64.0,33.142857142857146,ali,104.0
638525,инновационная программа от рождения до школы,https://www.wildberries.ru/catalog/0/search.aspx?search=инновационная%20программа%20от%20рождения%20до%20школы&xsearch=true&xsearch=true&sort=popular,3.0,1228.3333333333333,721.0,1607.0,68.0,0.0,203.0,1.0,1.0,1.0,0.0,30.0,10.0,wb,129.0
638821,алерана шампунь от перхоти,https://www.wildberries.ru/catalog/0/search.aspx?search=алерана%20шампунь%20от%20перхоти&xsearch=true&xsearch=true&sort=popular,6.0,421.33333333333326,383.0,490.0,320.0,22.0,1221.0,6.0,6.0,3.0,0.0,31.0,20.33333333333333,wb,313.0
638874,детские зимние ортопедические стельки,https://www.wildberries.ru/catalog/0/search.aspx?search=детские%20зимние%20ортопедические%20стельки&xsearch=true&xsearch=true&sort=popular,17.0,1036.5294117647059,443.0,2331.0,29.0,0.0,328.0,16.0,5.0,2.0,0.0,72.0,33.882352941176464,wb,149.0
639021,иллюстратор ломаев,https://www.wildberries.ru/catalog/0/search.aspx?search=иллюстратор%20ломаев&xsearch=true&xsearch=true&sort=popular,13.0,704.1538461538463,466.0,1646.0,22.0,2.0,57.0,12.0,8.0,6.0,40.0,61.0,55.153846153846146,wb,82.0
639132,учение дона хуана,https://www.wildberries.ru/catalog/0/search.aspx?search=учение%20дона%20хуана&xsearch=true&xsearch=true&sort=popular,5.0,765.2,378.0,1450.0,46.0,0.0,85.0,5.0,5.0,5.0,0.0,0.0,0.0,wb,89.0
639239,нутрилак антирефлюкс,https://www.wildberries.ru/catalog/0/search.aspx?search=нутрилак%20антирефлюкс&xsearch=true&xsearch=true&sort=popular,1.0,1197.0,1197.0,1197.0,666.0,666.0,666.0,1.0,1.0,1.0,10.0,10.0,10.0,wb,224.0
639335,настенный светильник для туалета,https://www.wildberries.ru/catalog/0/search.aspx?search=настенный%20светильник%20для%20туалета&xsearch=true&xsearch=true&sort=popular,5.0,960.8,490.0,1728.0,118.0,7.0,266.0,5.0,5.0,5.0,50.0,77.0,60.0,ali,133.0
639358,сыворотка для волос капус,https://www.wildberries.ru/catalog/0/search.aspx?search=сыворотка%20для%20волос%20капус&xsearch=true&xsearch=true&sort=popular,4.0,773.25,475.0,1499.0,1228.0,0.0,4902.0,4.0,4.0,4.0,47.0,75.0,58.5,wb,1085.0
639497,халат лав репаблик,https://www.wildberries.ru/catalog/0/search.aspx?search=халат%20лав%20репаблик&xsearch=true&xsearch=true&sort=popular,13.0,1975.2307692307693,1357.0,2666.0,15.0,1.0,51.0,10.0,3.0,3.0,33.0,60.0,47.615384615384606,wb,123.0
639649,плед с рукавами детский,https://www.wildberries.ru/catalog/0/search.aspx?search=плед%20с%20рукавами%20детский&xsearch=true&xsearch=true&sort=popular,48.0,1453.666666666667,547.0,2974.0,9.0,0.0,116.0,16.0,9.0,9.0,30.0,79.0,51.58333333333334,wb,119.0
639695,велосипедных кроссовок,https://www.wildberries.ru/catalog/0/search.aspx?search=велосипедных%20кроссовок&xsearch=true&xsearch=true&sort=popular,75.0,1576.9333333333334,738.0,4345.0,18.0,0.0,218.0,59.0,24.0,16.0,18.0,72.0,44.24,ali,144.0
639716,чехол на орро а9,https://www.wildberries.ru/catalog/0/search.aspx?search=чехол%20на%20орро%20а9&xsearch=true&xsearch=true&sort=popular,2.0,422.0,400.0,444.0,41.0,37.0,44.0,2.0,2.0,2.0,50.0,55.0,52.5,wb,69.0
640031,жвачка xylitol,https://www.wildberries.ru/catalog/0/search.aspx?search=жвачка%20xylitol&xsearch=true&xsearch=true&sort=popular,2.0,360.5,360.0,361.0,146.0,16.0,276.0,2.0,1.0,1.0,9.0,30.0,19.5,wb,115.0
640036,элмекс,https://www.wildberries.ru/catalog/0/search.aspx?search=элмекс&xsearch=true&xsearch=true&sort=popular,32.0,791.75,353.0,1240.0,130.0,0.0,2101.0,27.0,27.0,26.0,0.0,20.0,1.875,wb,507.0
640320,музыкальная шкатулка балерина,https://www.wildberries.ru/catalog/0/search.aspx?search=музыкальная%20шкатулка%20балерина&xsearch=true&xsearch=true&sort=popular,34.0,2258.1764705882347,598.0,4387.0,8.0,0.0,40.0,25.0,12.0,1.0,0.0,65.0,37.73529411764706,wb,130.0
640463,вероник ажинер,https://www.wildberries.ru/catalog/0/search.aspx?search=вероник%20ажинер&xsearch=true&xsearch=true&sort=popular,14.0,800.8571428571429,442.0,1190.0,25.0,4.0,48.0,12.0,12.0,12.0,0.0,40.0,16.357142857142858,wb,83.0
640559,эстель масло,https://www.wildberries.ru/catalog/0/search.aspx?search=эстель%20масло&xsearch=true&xsearch=true&sort=popular,11.0,846.0909090909091,389.0,1683.0,112.0,6.0,504.0,10.0,8.0,8.0,4.0,62.0,22.0,wb,179.0
640668,кофр фея порядка,https://www.wildberries.ru/catalog/0/search.aspx?search=кофр%20фея%20порядка&xsearch=true&xsearch=true&sort=popular,51.0,827.4509803921567,586.0,1290.0,29.0,3.0,103.0,49.0,47.0,45.0,0.0,16.0,3.2352941176470584,wb,95.0
640733,двух сторонние маркеры,https://www.wildberries.ru/catalog/0/search.aspx?search=двух%20сторонние%20маркеры&xsearch=true&xsearch=true&sort=popular,3.0,950.3333333333336,488.0,1614.0,17.0,0.0,42.0,1.0,1.0,1.0,50.0,73.0,61.66666666666666,wb,87.0
640976,шлепки мужские адидас,https://www.wildberries.ru/catalog/0/search.aspx?search=шлепки%20мужские%20адидас&xsearch=true&xsearch=true&sort=popular,61.0,2095.311475409836,714.0,4499.0,63.0,0.0,513.0,36.0,36.0,36.0,0.0,57.0,21.78688524590164,wb,222.0
641219,книга шестерка воронов,https://www.wildberries.ru/catalog/0/search.aspx?search=книга%20шестерка%20воронов&xsearch=true&xsearch=true&sort=popular,4.0,672.75,440.0,876.0,61.0,2.0,227.0,1.0,1.0,1.0,0.0,30.0,20.0,wb,116.0
641245,губная помада диор,https://www.wildberries.ru/catalog/0/search.aspx?search=губная%20помада%20диор&xsearch=true&xsearch=true&sort=popular,1.0,993.0,993.0,993.0,82.0,82.0,82.0,1.0,1.0,1.0,33.0,33.0,33.0,wb,96.0
641274,frutissimo,https://www.wildberries.ru/catalog/0/search.aspx?search=frutissimo&xsearch=true&xsearch=true&sort=popular,2.0,591.0,591.0,591.0,2251.0,2251.0,2251.0,1.0,1.0,1.0,51.0,51.0,51.0,wb,531.0
