index_label,ключевые слова,url,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,среднемесячный оборот топ-30,среднемесячный оборот топ-5,средненедельный оборот топ-5,ориентировочное количество выкупов в неделю,market,lot_size_65_days
18307,электрогриль gf-060,https://www.wildberries.ru/catalog/0/search.aspx?search=электрогриль%20gf-060&xsearch=true&xsearch=true&sort=popular,3590.0,3590.0,3590.0,316.0,316.0,316.0,1.0,1.0,1.0,34.0,34.0,34.0,1134440.0,1134440.0,283610.0,79.0,wb,232.0
18319,скатерть водоотталкивающая на стол круглая,https://www.wildberries.ru/catalog/0/search.aspx?search=скатерть%20водоотталкивающая%20на%20стол%20круглая&xsearch=true&xsearch=true&sort=popular,1215.3333333333333,500.0,2415.0,61.0,1.0,647.0,30.0,30.0,30.0,32.0,71.0,51.16666666666666,74135.33,23648.4,5912.1,5.0,wb,221.0
18331,модуль сменный фильтрующий a5 aqualen,https://www.wildberries.ru/catalog/0/search.aspx?search=модуль%20сменный%20фильтрующий%20a5%20aqualen&xsearch=true&xsearch=true&sort=popular,775.4285714285713,370.0,1083.0,234.0,2.0,978.0,21.0,21.0,21.0,0.0,69.0,53.28571428571429,181450.29,302548.4,75637.1,83.0,wb,274.0
18335,настенное крепление для телевизора,https://www.wildberries.ru/catalog/0/search.aspx?search=настенное%20крепление%20для%20телевизора&xsearch=true&xsearch=true&sort=popular,1263.7666666666667,435.0,2242.0,2375.0,0.0,23221.0,30.0,30.0,30.0,0.0,91.0,54.26666666666666,3001445.83,3865236.8,966309.2,1171.0,wb,4886.0
18359,матрикс шампунь,https://www.wildberries.ru/catalog/0/search.aspx?search=матрикс%20шампунь&xsearch=true&xsearch=true&sort=popular,901.3,461.0,2640.0,689.0,27.0,2657.0,30.0,30.0,30.0,0.0,56.0,25.766666666666666,620995.7,1000963.2,250240.8,411.0,wb,625.0
18373,японские свечи стив нисон,https://www.wildberries.ru/catalog/0/search.aspx?search=японские%20свечи%20стив%20нисон&xsearch=true&xsearch=true&sort=popular,1065.0,990.0,1140.0,160.0,75.0,244.0,2.0,2.0,2.0,20.0,25.0,22.5,170400.0,170400.0,42600.0,40.0,wb,132.0
18399,аквафор модуль а5,https://www.wildberries.ru/catalog/0/search.aspx?search=аквафор%20модуль%20а5&xsearch=true&xsearch=true&sort=popular,941.3333333333335,454.0,2119.0,486.0,47.0,1479.0,30.0,30.0,30.0,23.0,73.0,54.0,457488.0,999856.0,249964.0,253.0,wb,383.0
18455,планшет для магнитного рисования,https://www.wildberries.ru/catalog/0/search.aspx?search=планшет%20для%20магнитного%20рисования&xsearch=true&xsearch=true&sort=popular,896.0333333333333,442.0,4256.0,142.0,0.0,727.0,30.0,28.0,28.0,0.0,84.0,51.06666666666667,127236.73,247950.0,61987.5,113.0,wb,226.0
18470,леденцы xylipop,https://www.wildberries.ru/catalog/0/search.aspx?search=леденцы%20xylipop&xsearch=true&xsearch=true&sort=popular,2954.666666666666,2726.0,3102.0,209.0,16.0,340.0,3.0,3.0,3.0,6.0,8.0,6.666666666666668,617525.33,617525.33,154381.33,53.0,wb,215.0
18487,металическая сушилка для посуды,https://www.wildberries.ru/catalog/0/search.aspx?search=металическая%20сушилка%20для%20посуды&xsearch=true&xsearch=true&sort=popular,1597.2333333333331,480.0,3796.0,121.0,1.0,566.0,30.0,30.0,30.0,15.0,70.0,43.03333333333333,193265.23,122751.2,30687.8,13.0,wb,217.0
