index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
55,dry monster,https://www.wildberries.ru/catalog/0/search.aspx?search=dry%20monster&xsearch=true&xsearch=true&sort=popular,7.0,824.8571428571429,401.0,1638.0,39.0,0.0,161.0,3.0,3.0,3.0,,,,
69,косметичка женская esse,https://www.wildberries.ru/catalog/0/search.aspx?search=косметичка%20женская%20esse&xsearch=true&xsearch=true&sort=popular,22.0,804.5454545454545,725.0,900.0,18.0,2.0,67.0,21.0,11.0,7.0,40.0,50.0,45.45454545454545,косметичка женский
136,хлебница typhoon,https://www.wildberries.ru/catalog/0/search.aspx?search=хлебница%20typhoon&xsearch=true&xsearch=true&sort=popular,7.0,2653.857142857143,2517.0,2800.0,35.0,0.0,174.0,5.0,2.0,2.0,,,,хлебница
154,хлебница maestro,https://www.wildberries.ru/catalog/0/search.aspx?search=хлебница%20maestro&xsearch=true&xsearch=true&sort=popular,7.0,2360.857142857143,2049.0,2892.0,10.0,0.0,40.0,3.0,2.0,2.0,,,,хлебница
205,крош мягкая игрушка,https://www.wildberries.ru/catalog/0/search.aspx?search=крош%20мягкая%20игрушка&xsearch=true&xsearch=true&sort=popular,20.0,868.5,399.0,2319.0,13.0,0.0,102.0,15.0,15.0,12.0,10.0,80.0,43.5,игрушка
233,танк кв 44,https://www.wildberries.ru/catalog/0/search.aspx?search=танк%20кв%2044&xsearch=true&xsearch=true&sort=popular,2.0,629.0,629.0,629.0,45.0,40.0,50.0,3.0,3.0,3.0,40.0,40.0,40.0,танк
236,танк кв 1,https://www.wildberries.ru/catalog/0/search.aspx?search=танк%20кв%201&xsearch=true&xsearch=true&sort=popular,9.0,1036.2222222222224,629.0,1628.0,11.0,0.0,50.0,10.0,10.0,10.0,3.0,40.0,20.444444444444443,танк
417,пианино жирафики,https://www.wildberries.ru/catalog/0/search.aspx?search=пианино%20жирафики&xsearch=true&xsearch=true&sort=popular,5.0,1296.0,511.0,2171.0,107.0,3.0,333.0,5.0,5.0,5.0,29.0,41.0,36.0,пианино
504,happy baby котик,https://www.wildberries.ru/catalog/0/search.aspx?search=happy%20baby%20котик&xsearch=true&xsearch=true&sort=popular,6.0,883.0,359.0,1783.0,25.0,3.0,53.0,5.0,4.0,4.0,14.0,40.0,20.666666666666668,
634,кот basik 40 см,https://www.wildberries.ru/catalog/0/search.aspx?search=кот%20basik%2040%20см&xsearch=true&xsearch=true&sort=popular,4.0,1502.5,1332.0,1650.0,174.0,0.0,486.0,4.0,3.0,3.0,32.0,69.0,51.0,кот
675,шкатулка нефертити,https://www.wildberries.ru/catalog/0/search.aspx?search=шкатулка%20нефертити&xsearch=true&xsearch=true&sort=popular,2.0,2199.0,2199.0,2199.0,80.0,57.0,102.0,3.0,3.0,3.0,,,,шкатулка
714,чайник для пуэра,https://www.wildberries.ru/catalog/0/search.aspx?search=чайник%20для%20пуэра&xsearch=true&xsearch=true&sort=popular,25.0,1749.28,425.0,2346.0,6.0,0.0,84.0,3.0,3.0,2.0,,,,чайник
716,косметичка малая,https://www.wildberries.ru/catalog/0/search.aspx?search=косметичка%20малая&xsearch=true&xsearch=true&sort=popular,8.0,953.5,418.0,1400.0,6.0,0.0,48.0,2.0,2.0,2.0,20.0,40.0,27.5,косметичка
823,popcorn books,https://www.wildberries.ru/catalog/0/search.aspx?search=popcorn%20books&xsearch=true&xsearch=true&sort=popular,26.0,503.26923076923083,370.0,2040.0,66.0,1.0,466.0,27.0,27.0,27.0,30.0,30.0,30.0,
832,ферби пикси,https://www.wildberries.ru/catalog/0/search.aspx?search=ферби%20пикси&xsearch=true&xsearch=true&sort=popular,30.0,1842.966666666667,469.0,2808.0,13.0,0.0,68.0,13.0,7.0,5.0,10.0,70.0,38.86666666666667,ферби
847,бюро находок маска,https://www.wildberries.ru/catalog/0/search.aspx?search=бюро%20находок%20маска&xsearch=true&xsearch=true&sort=popular,43.0,594.7906976744188,574.0,653.0,10.0,0.0,78.0,33.0,33.0,4.0,26.0,35.0,32.25581395348837,бюро маска
857,пистолет дигл,https://www.wildberries.ru/catalog/0/search.aspx?search=пистолет%20дигл&xsearch=true&xsearch=true&sort=popular,4.0,1349.5,1216.0,1750.0,55.0,23.0,94.0,4.0,4.0,3.0,28.0,30.0,28.5,пистолет
911,тельняшка теплая,https://www.wildberries.ru/catalog/0/search.aspx?search=тельняшка%20теплая&xsearch=true&xsearch=true&sort=popular,45.0,829.1555555555556,350.0,1817.0,8.0,0.0,45.0,30.0,10.0,8.0,5.0,81.0,46.22222222222222,тельняшка теплый
1083,универсальная передвижная этажерка,https://www.wildberries.ru/catalog/0/search.aspx?search=универсальная%20передвижная%20этажерка&xsearch=true&xsearch=true&sort=popular,5.0,2011.6,1620.0,2501.0,35.0,2.0,117.0,5.0,3.0,2.0,63.0,82.0,69.2,этажерка универсальный
1099,стеллаж узкий,https://www.wildberries.ru/catalog/0/search.aspx?search=стеллаж%20узкий&xsearch=true&xsearch=true&sort=popular,4.0,2021.0,1225.0,2880.0,37.0,3.0,103.0,3.0,3.0,3.0,,,,стеллаж узкий
1125,двусторонняя магнитная доска мольберт,https://www.wildberries.ru/catalog/0/search.aspx?search=двусторонняя%20магнитная%20доска%20мольберт&xsearch=true&xsearch=true&sort=popular,16.0,1167.8125,702.0,2391.0,17.0,0.0,85.0,7.0,6.0,6.0,,,,доска двусторонний
1335,подушка игрушка корги,https://www.wildberries.ru/catalog/0/search.aspx?search=подушка%20игрушка%20корги&xsearch=true&xsearch=true&sort=popular,27.0,1446.7407407407404,599.0,2650.0,16.0,0.0,88.0,18.0,10.0,7.0,,,,игрушка подушка
1337,подушка декоративная корги,https://www.wildberries.ru/catalog/0/search.aspx?search=подушка%20декоративная%20корги&xsearch=true&xsearch=true&sort=popular,13.0,1055.076923076923,520.0,2093.0,9.0,0.0,43.0,4.0,3.0,2.0,3.0,74.0,36.153846153846146,корги подушка
1352,подушка корги,https://www.wildberries.ru/catalog/0/search.aspx?search=подушка%20корги&xsearch=true&xsearch=true&sort=popular,37.0,1287.1891891891894,520.0,2650.0,14.0,0.0,88.0,30.0,30.0,20.0,,,,подушка
1446,мульти пульти чебурашка,https://www.wildberries.ru/catalog/0/search.aspx?search=мульти%20пульти%20чебурашка&xsearch=true&xsearch=true&sort=popular,9.0,1040.4444444444443,503.0,1903.0,62.0,1.0,321.0,6.0,5.0,4.0,,,,чебурашка мультя
1622,ресницы м изгиб,https://www.wildberries.ru/catalog/0/search.aspx?search=ресницы%20м%20изгиб&xsearch=true&xsearch=true&sort=popular,9.0,1191.111111111111,696.0,1309.0,15.0,0.0,109.0,3.0,3.0,3.0,,,,ресница изгиб
1651,новая заря миллионерша,https://www.wildberries.ru/catalog/0/search.aspx?search=новая%20заря%20миллионерша&xsearch=true&xsearch=true&sort=popular,13.0,663.0,355.0,1038.0,23.0,0.0,163.0,8.0,8.0,2.0,3.0,34.0,11.2,заря новый
1754,копилка механическая,https://www.wildberries.ru/catalog/0/search.aspx?search=копилка%20механическая&xsearch=true&xsearch=true&sort=popular,32.0,1008.15625,420.0,1899.0,9.0,0.0,171.0,18.0,4.0,4.0,,,,
1757,подвесная косметичка органайзер,https://www.wildberries.ru/catalog/0/search.aspx?search=подвесная%20косметичка%20органайзер&xsearch=true&xsearch=true&sort=popular,38.0,1170.3947368421052,405.0,1883.0,19.0,0.0,87.0,38.0,16.0,16.0,,,,косметичка органайзер подвесной
1765,кацва история,https://www.wildberries.ru/catalog/0/search.aspx?search=кацва%20история&xsearch=true&xsearch=true&sort=popular,2.0,452.0,354.0,550.0,49.0,5.0,93.0,2.0,2.0,2.0,14.0,28.0,21.0,история кацва
1769,копилка сейф эврика,https://www.wildberries.ru/catalog/0/search.aspx?search=копилка%20сейф%20эврика&xsearch=true&xsearch=true&sort=popular,4.0,2039.5,1552.0,2512.0,50.0,36.0,72.0,5.0,5.0,5.0,3.0,31.0,21.0,сейф
1819,маска для сна mettle,https://www.wildberries.ru/catalog/0/search.aspx?search=маска%20для%20сна%20mettle&xsearch=true&xsearch=true&sort=popular,15.0,804.2666666666668,625.0,952.0,100.0,0.0,283.0,12.0,10.0,9.0,30.0,50.0,38.86666666666667,маска
1845,corra / женская сумка-клатч через плечо,https://www.wildberries.ru/catalog/0/search.aspx?search=corra%20/%20женская%20сумка-клатч%20через%20плечо&xsearch=true&xsearch=true&sort=popular,37.0,1483.4594594594596,1132.0,1762.0,19.0,0.0,124.0,33.0,33.0,23.0,28.0,56.0,44.21621621621622,сумка
1909,japan gals,https://www.wildberries.ru/catalog/0/search.aspx?search=japan%20gals&xsearch=true&xsearch=true&sort=popular,77.0,1179.4935064935064,385.0,2601.0,36.0,0.0,359.0,78.0,78.0,30.0,,,,
1911,japan gals 30,https://www.wildberries.ru/catalog/0/search.aspx?search=japan%20gals%2030&xsearch=true&xsearch=true&sort=popular,25.0,1492.24,1064.0,2099.0,51.0,0.0,359.0,26.0,26.0,11.0,,,,
1913,мягкая игрушка авокэт,https://www.wildberries.ru/catalog/0/search.aspx?search=мягкая%20игрушка%20авокэт&xsearch=true&xsearch=true&sort=popular,1.0,1119.0,1119.0,1119.0,122.0,122.0,122.0,2.0,2.0,2.0,40.0,40.0,40.0,игрушка мягкий
1950,подушка антистресс собака,https://www.wildberries.ru/catalog/0/search.aspx?search=подушка%20антистресс%20собака&xsearch=true&xsearch=true&sort=popular,55.0,847.1454545454545,490.0,1890.0,8.0,0.0,85.0,37.0,20.0,20.0,,,,подушка антистресс
