index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
226111,принтер для ногтей,https://www.wildberries.ru/catalog/0/search.aspx?search=принтер%20для%20ногтей&xsearch=true&xsearch=true&sort=popular,30.0,1605.966666666667,829.0,2800.0,18.0,0.0,113.0,12.0,11.0,11.0,,,,принтер
226112,принтер для маникюра,https://www.wildberries.ru/catalog/0/search.aspx?search=принтер%20для%20маникюра&xsearch=true&xsearch=true&sort=popular,27.0,1601.2222222222224,829.0,2800.0,18.0,0.0,113.0,16.0,16.0,16.0,10.0,70.0,39.888888888888886,принтер
226128,lucky brush,https://www.wildberries.ru/catalog/0/search.aspx?search=lucky%20brush&xsearch=true&xsearch=true&sort=popular,9.0,1386.0,589.0,2883.0,54.0,0.0,154.0,10.0,6.0,6.0,,,,
226138,69043290,https://www.wildberries.ru/catalog/0/search.aspx?search=69043290&xsearch=true&xsearch=true&sort=popular,1.0,873.0,873.0,873.0,66.0,66.0,66.0,2.0,2.0,2.0,25.0,25.0,25.0,69043290
226145,помогать ладить дружить,https://www.wildberries.ru/catalog/0/search.aspx?search=помогать%20ладить%20дружить&xsearch=true&xsearch=true&sort=popular,1.0,526.0,526.0,526.0,44.0,44.0,44.0,2.0,2.0,2.0,36.0,36.0,36.0,
226147,кронштейн микроволновки,https://www.wildberries.ru/catalog/0/search.aspx?search=кронштейн%20микроволновки&xsearch=true&xsearch=true&sort=popular,22.0,1463.3181818181818,444.0,2590.0,33.0,0.0,321.0,20.0,20.0,20.0,,,,микроволновка кронштейн
226191,рюкзак детский пчелка,https://www.wildberries.ru/catalog/0/search.aspx?search=рюкзак%20детский%20пчелка&xsearch=true&xsearch=true&sort=popular,16.0,1508.3125,475.0,2519.0,6.0,0.0,46.0,3.0,2.0,2.0,24.0,81.0,44.3125,рюкзак детский
226211,холодильник походный,https://www.wildberries.ru/catalog/0/search.aspx?search=холодильник%20походный&xsearch=true&xsearch=true&sort=popular,39.0,1343.7179487179487,685.0,2966.0,17.0,0.0,289.0,25.0,23.0,10.0,,,,холодильник походный
226265,бустер kari,https://www.wildberries.ru/catalog/0/search.aspx?search=бустер%20kari&xsearch=true&xsearch=true&sort=popular,15.0,887.0,799.0,1199.0,191.0,5.0,602.0,16.0,16.0,13.0,12.0,55.0,37.8,бустер
226387,ринфолтил лосьон,https://www.wildberries.ru/catalog/0/search.aspx?search=ринфолтил%20лосьон&xsearch=true&xsearch=true&sort=popular,6.0,1403.833333333333,1110.0,1726.0,68.0,1.0,167.0,6.0,6.0,6.0,44.0,44.0,44.0,лосьон ринфолтить
226419,англо-русский визуальный словарь для детей,https://www.wildberries.ru/catalog/0/search.aspx?search=англо-русский%20визуальный%20словарь%20для%20детей&xsearch=true&xsearch=true&sort=popular,3.0,684.0,562.0,794.0,54.0,0.0,161.0,2.0,2.0,2.0,20.0,33.0,27.0,словарь англо-русский
226445,biorepair нить,https://www.wildberries.ru/catalog/0/search.aspx?search=biorepair%20нить&xsearch=true&xsearch=true&sort=popular,6.0,781.8333333333335,548.0,1204.0,12.0,0.0,42.0,6.0,6.0,6.0,19.0,30.0,22.33333333333333,нить
226446,biorepair,https://www.wildberries.ru/catalog/0/search.aspx?search=biorepair&xsearch=true&xsearch=true&sort=popular,47.0,855.7234042553191,363.0,1855.0,258.0,0.0,2881.0,48.0,48.0,48.0,5.0,33.0,21.382978723404253,
