index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
609249,смесь фрисо вом,https://www.wildberries.ru/catalog/0/search.aspx?search=смесь%20фрисо%20вом&xsearch=true&xsearch=true&sort=popular,4.0,1021.25,641.0,1659.0,805.0,168.0,1647.0,4.0,4.0,4.0,0.0,31.0,20.25
610033,постельное белье мимимишки,https://www.wildberries.ru/catalog/0/search.aspx?search=постельное%20белье%20мимимишки&xsearch=true&xsearch=true&sort=popular,9.0,1143.0,930.0,1609.0,93.0,25.0,299.0,9.0,9.0,7.0,43.0,81.0,66.33333333333333
610490,дедморозовка,https://www.wildberries.ru/catalog/0/search.aspx?search=дедморозовка&xsearch=true&xsearch=true&sort=popular,3.0,776.0,369.0,1089.0,30.0,0.0,88.0,1.0,1.0,1.0,17.0,30.0,21.33333333333333
610686,краснополянская косметика гель,https://www.wildberries.ru/catalog/0/search.aspx?search=краснополянская%20косметика%20гель&xsearch=true&xsearch=true&sort=popular,48.0,552.0833333333334,392.0,800.0,16.0,0.0,77.0,48.0,48.0,48.0,0.0,30.0,14.4375
610930,модная девчонка,https://www.wildberries.ru/catalog/0/search.aspx?search=модная%20девчонка&xsearch=true&xsearch=true&sort=popular,19.0,759.1578947368422,534.0,913.0,66.0,2.0,475.0,12.0,8.0,7.0,35.0,67.0,54.89473684210525
610973,детское постельное белье мстители,https://www.wildberries.ru/catalog/0/search.aspx?search=детское%20постельное%20белье%20мстители&xsearch=true&xsearch=true&sort=popular,6.0,1549.833333333333,1056.0,1876.0,37.0,1.0,179.0,3.0,1.0,1.0,24.0,80.0,53.83333333333334
611039,удивительные истории маленького ежика,https://www.wildberries.ru/catalog/0/search.aspx?search=удивительные%20истории%20маленького%20ежика&xsearch=true&xsearch=true&sort=popular,4.0,480.5,355.0,693.0,28.0,0.0,106.0,3.0,3.0,3.0,17.0,60.0,31.0
611469,вибратор brighty,https://www.wildberries.ru/catalog/0/search.aspx?search=вибратор%20brighty&xsearch=true&xsearch=true&sort=popular,24.0,1305.2083333333333,767.0,2096.0,13.0,0.0,250.0,19.0,19.0,19.0,0.0,79.0,46.54166666666666
611662,бакуганы,https://www.wildberries.ru/catalog/0/search.aspx?search=бакуганы&xsearch=true&xsearch=true&sort=popular,34.0,965.8235294117646,350.0,2100.0,9.0,0.0,49.0,19.0,19.0,2.0,0.0,79.0,38.088235294117645
611716,магия берн,https://www.wildberries.ru/catalog/0/search.aspx?search=магия%20берн&xsearch=true&xsearch=true&sort=popular,2.0,504.0,477.0,531.0,130.0,5.0,254.0,1.0,1.0,1.0,30.0,34.0,32.0
613063,не открывать липко,https://www.wildberries.ru/catalog/0/search.aspx?search=не%20открывать%20липко&xsearch=true&xsearch=true&sort=popular,2.0,418.5,404.0,433.0,106.0,7.0,204.0,1.0,1.0,1.0,16.0,41.0,28.5
613355,dz09,https://www.wildberries.ru/catalog/0/search.aspx?search=dz09&xsearch=true&xsearch=true&sort=popular,43.0,766.7209302325581,354.0,1380.0,17.0,0.0,127.0,40.0,40.0,40.0,0.0,94.0,43.65116279069768
613458,максим дорофеев,https://www.wildberries.ru/catalog/0/search.aspx?search=максим%20дорофеев&xsearch=true&xsearch=true&sort=popular,5.0,1064.2,787.0,2073.0,21.0,1.0,82.0,2.0,1.0,1.0,30.0,39.0,37.0
613459,интуитивное питание книга светлана бронникова,https://www.wildberries.ru/catalog/0/search.aspx?search=интуитивное%20питание%20книга%20светлана%20бронникова&xsearch=true&xsearch=true&sort=popular,2.0,854.5,613.0,1096.0,142.0,1.0,283.0,1.0,1.0,1.0,0.0,36.0,18.0
613823,тональный крем буржуа,https://www.wildberries.ru/catalog/0/search.aspx?search=тональный%20крем%20буржуа&xsearch=true&xsearch=true&sort=popular,33.0,537.8484848484849,353.0,684.0,110.0,0.0,716.0,24.0,17.0,17.0,18.0,50.0,30.63636363636364
