index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
229,тюль с фотопринтом,https://www.wildberries.ru/catalog/0/search.aspx?search=тюль%20с%20фотопринтом&xsearch=true&xsearch=true&sort=popular,22.0,1560.7272727272727,1462.0,1643.0,5.0,0.0,43.0,6.0,6.0,6.0,51.0,51.0,51.0
265,киндер со злаками,https://www.wildberries.ru/catalog/0/search.aspx?search=киндер%20со%20злаками&xsearch=true&xsearch=true&sort=popular,9.0,923.5555555555555,408.0,1912.0,35.0,0.0,134.0,6.0,6.0,6.0,7.0,35.0,18.0
315,сумка бананка мужская аксессуары,https://www.wildberries.ru/catalog/0/search.aspx?search=сумка%20бананка%20мужская%20аксессуары&xsearch=true&xsearch=true&sort=popular,16.0,1198.5625,450.0,2255.0,9.0,0.0,51.0,3.0,3.0,3.0,12.0,82.0,40.375
605,подушка мяч,https://www.wildberries.ru/catalog/0/search.aspx?search=подушка%20мяч&xsearch=true&xsearch=true&sort=popular,52.0,972.5,399.0,2206.0,359.0,0.0,4329.0,48.0,48.0,48.0,0.0,68.0,49.21153846153846
1097,масло перед эпиляцией,https://www.wildberries.ru/catalog/0/search.aspx?search=масло%20перед%20эпиляцией&xsearch=true&xsearch=true&sort=popular,8.0,659.625,437.0,1330.0,50.0,0.0,163.0,5.0,5.0,3.0,5.0,66.0,36.875
1408,девушка в темной реке,https://www.wildberries.ru/catalog/0/search.aspx?search=девушка%20в%20темной%20реке&xsearch=true&xsearch=true&sort=popular,1.0,403.0,403.0,403.0,78.0,78.0,78.0,1.0,1.0,1.0,6.0,6.0,6.0
1559,масло эльсев,https://www.wildberries.ru/catalog/0/search.aspx?search=масло%20эльсев&xsearch=true&xsearch=true&sort=popular,2.0,372.0,372.0,372.0,1274.0,1260.0,1287.0,2.0,2.0,2.0,25.0,25.0,25.0
1636,fth 35,https://www.wildberries.ru/catalog/0/search.aspx?search=fth%2035&xsearch=true&xsearch=true&sort=popular,1.0,850.0,850.0,850.0,51.0,51.0,51.0,1.0,1.0,1.0,37.0,37.0,37.0
1909,одна истинная королева,https://www.wildberries.ru/catalog/0/search.aspx?search=одна%20истинная%20королева&xsearch=true&xsearch=true&sort=popular,2.0,591.0,560.0,622.0,54.0,54.0,54.0,1.0,1.0,1.0,25.0,28.0,26.5
2293,невзоров искусство оскорблять,https://www.wildberries.ru/catalog/0/search.aspx?search=невзоров%20искусство%20оскорблять&xsearch=true&xsearch=true&sort=popular,1.0,526.0,526.0,526.0,48.0,48.0,48.0,1.0,1.0,1.0,20.0,20.0,20.0
