index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
6432,зонт с котиками,https://www.wildberries.ru/catalog/0/search.aspx?search=зонт%20с%20котиками&xsearch=true&xsearch=true&sort=popular,77.0,710.0909090909091,445.0,1261.0,3.0,0.0,53.0,70.0,70.0,70.0,0.0,69.0,49.337662337662344,wb,81.0
6574,молочная смесь нутрилак,https://www.wildberries.ru/catalog/0/search.aspx?search=молочная%20смесь%20нутрилак&xsearch=true&xsearch=true&sort=popular,19.0,878.8947368421052,533.0,2021.0,702.0,12.0,4022.0,19.0,19.0,19.0,0.0,31.0,16.315789473684212,wb,907.0
6834,математика с дурацкими рисунками,https://www.wildberries.ru/catalog/0/search.aspx?search=математика%20с%20дурацкими%20рисунками&xsearch=true&xsearch=true&sort=popular,1.0,940.0,940.0,940.0,127.0,127.0,127.0,1.0,1.0,1.0,24.0,24.0,24.0,wb,104.0
6848,парные браслеты джокер,https://www.wildberries.ru/catalog/0/search.aspx?search=парные%20браслеты%20джокер&xsearch=true&xsearch=true&sort=popular,15.0,1110.6,763.0,2268.0,32.0,2.0,193.0,15.0,9.0,3.0,30.0,70.0,54.93333333333333,wb,123.0
6906,ринфолтил шампунь,https://www.wildberries.ru/catalog/0/search.aspx?search=ринфолтил%20шампунь&xsearch=true&xsearch=true&sort=popular,6.0,742.3333333333335,635.0,910.0,198.0,3.0,432.0,5.0,5.0,5.0,0.0,23.0,19.166666666666668,wb,160.0
7022,запчасти для блендера розетка,https://www.wildberries.ru/catalog/0/search.aspx?search=запчасти%20для%20блендера%20розетка&xsearch=true&xsearch=true&sort=popular,11.0,610.1818181818181,362.0,1019.0,12.0,1.0,43.0,5.0,5.0,5.0,0.0,74.0,40.0,ali,76.0
7162,байрамали простыня,https://www.wildberries.ru/catalog/0/search.aspx?search=байрамали%20простыня&xsearch=true&xsearch=true&sort=popular,41.0,1188.4878048780488,1044.0,1339.0,28.0,0.0,60.0,35.0,30.0,27.0,34.0,61.0,37.365853658536594,wb,98.0
7731,наушники беспроводные i 12,https://www.wildberries.ru/catalog/0/search.aspx?search=наушники%20беспроводные%20i%2012&xsearch=true&xsearch=true&sort=popular,13.0,1115.7692307692307,366.0,2875.0,12.0,0.0,53.0,6.0,6.0,4.0,38.0,87.0,65.61538461538461,wb,94.0
7946,lifter блеск для губ,https://www.wildberries.ru/catalog/0/search.aspx?search=lifter%20блеск%20для%20губ&xsearch=true&xsearch=true&sort=popular,8.0,401.625,354.0,431.0,306.0,56.0,850.0,8.0,8.0,8.0,28.0,40.0,32.75,wb,235.0
7996,шейкер гуарчибао,https://www.wildberries.ru/catalog/0/search.aspx?search=шейкер%20гуарчибао&xsearch=true&xsearch=true&sort=popular,4.0,369.5,352.0,387.0,48.0,26.0,67.0,4.0,4.0,3.0,50.0,54.0,52.0,wb,72.0
