index_label,ключевые слова,url,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,среднемесячный оборот топ-30,среднемесячный оборот топ-5,средненедельный оборот топ-5,ориентировочное количество выкупов в неделю,market,lot_size_65_days
112732,плед сердца,https://www.wildberries.ru/catalog/0/search.aspx?search=плед%20сердца&xsearch=true&xsearch=true&sort=popular,1120.0666666666666,413.0,2520.0,93.0,2.0,315.0,30.0,28.0,28.0,10.0,84.0,47.8,104166.2,174526.8,43631.7,40.0,wb,149.0
112750,джинсы женские голубые,https://www.wildberries.ru/catalog/0/search.aspx?search=джинсы%20женские%20голубые&xsearch=true&xsearch=true&sort=popular,2150.5333333333333,1099.0,3656.0,94.0,5.0,360.0,30.0,30.0,30.0,18.0,77.0,51.66666666666666,202150.13,472165.2,118041.3,59.0,wb,193.0
112805,мягкий обруч,https://www.wildberries.ru/catalog/0/search.aspx?search=мягкий%20обруч&xsearch=true&xsearch=true&sort=popular,1242.2333333333333,617.0,3021.0,57.0,0.0,290.0,25.0,25.0,25.0,20.0,80.0,45.6,70807.3,187412.4,46853.1,51.0,wb,148.0
112844,сумка рюкзак для девочки,https://www.wildberries.ru/catalog/0/search.aspx?search=сумка%20рюкзак%20для%20девочки&xsearch=true&xsearch=true&sort=popular,2050.1,896.0,4200.0,208.0,40.0,897.0,30.0,30.0,30.0,35.0,84.0,57.2,426420.8,1018531.2,254632.8,119.0,wb,300.0
112845,шапочка детская осень,https://www.wildberries.ru/catalog/0/search.aspx?search=шапочка%20детская%20осень&xsearch=true&xsearch=true&sort=popular,811.7333333333332,379.0,1280.0,228.0,0.0,1023.0,30.0,30.0,30.0,30.0,54.0,37.23333333333333,185075.2,43958.0,10989.5,16.0,wb,285.0
112851,джинсы мужские теплые,https://www.wildberries.ru/catalog/0/search.aspx?search=джинсы%20мужские%20теплые&xsearch=true&xsearch=true&sort=popular,2659.366666666667,994.0,3905.0,66.0,4.0,341.0,30.0,30.0,25.0,20.0,74.0,48.9,175518.2,606882.6,151720.65,52.0,wb,206.0
112871,женские белые джинсы высокая посадка,https://www.wildberries.ru/catalog/0/search.aspx?search=женские%20белые%20джинсы%20высокая%20посадка&xsearch=true&xsearch=true&sort=popular,2366.9,1437.0,3583.0,263.0,2.0,1532.0,30.0,30.0,30.0,12.0,69.0,49.0,622494.7,136620.0,34155.0,17.0,wb,442.0
112876,демисезонная шапка для мальчика на завязках 50,https://www.wildberries.ru/catalog/0/search.aspx?search=демисезонная%20шапка%20для%20мальчика%20на%20завязках%2050&xsearch=true&xsearch=true&sort=popular,921.1,424.0,1968.0,461.0,150.0,898.0,30.0,30.0,30.0,20.0,72.0,47.8,424627.1,484398.8,121099.7,157.0,wb,263.0
112914,постельное белье 2 сказка,https://www.wildberries.ru/catalog/0/search.aspx?search=постельное%20белье%202%20сказка&xsearch=true&xsearch=true&sort=popular,2660.0666666666666,2144.0,4156.0,21.0,0.0,153.0,29.0,7.0,4.0,68.0,71.0,69.1,55861.4,192692.0,48173.0,17.0,wb,167.0
112945,палантин клетчатый,https://www.wildberries.ru/catalog/0/search.aspx?search=палантин%20клетчатый&xsearch=true&xsearch=true&sort=popular,908.8666666666667,739.0,984.0,113.0,0.0,530.0,30.0,30.0,30.0,32.0,77.0,54.9,102701.93,364080.0,91020.0,93.0,wb,186.0
